Age,CO2,St.DEV,N
0,258.707278177458,68.9875032624628,834
10,268.909166666667,117.200422891315,204
20,397.279363057325,151.295282531407,157
30,540.736081081081,180.448655960238,74
40,858.263970588235,237.1202244066,136
50,1154.66175,464.856183947101,80
60,999.569305555556,535.713647454052,72
70,847.926301418072,641.491676593895,83
80,876.50551394,532.411001663458,15
90,435.206944444444,62.5325408261427,18
100,929.510537878788,279.97755574636,33
110,1173.66583793103,431.983274081454,29
120,1137.34776016441,434.037035744827,59
130,957.574195131579,595.386309246066,19
140,888.4521514,415.497683548141,12
150,982.201304733333,270.717409139096,3
160,627.78843335,99.1671534139915,2
170,1052.65325723125,326.216679570616,16
180,966.071428571429,335.931097668781,7
190,1045.95791952,442.968625795157,5
200,1766.19315760755,706.232747289072,106
210,1207.55953897321,787.584369717633,112
220,2108.88974361538,1192.88365875708,26
230,2055.188562625,1212.58472958184,16
240,377.666666666667,197.889699917235,3
250,837.6,407.383480273808,5
260,400,0,1
270,283.388888883333,79.5829174053168,6
280,808.450220290909,356.036205736656,11
290,619.291037261538,496.688058720031,13
300,361.473684210526,193.017310961548,57
310,431.3375,119.24986466038,80
320,352.833333333333,50.4199034773636,6
330,273.333333333333,56.8624070307733,3
340,512.666666666667,317.151908922733,3
370,848.8,416.948150253722,4
380,1120,0,1
390,1092,661.851947190608,2
400,1800.75,679.883170110865,2
410,2192,910.753534168273,2
420,1560,169.705627484771,2
